Filename,Sample type,Groups,Level,Sample ID,Sample name,Comment,Vial position,Injection volume,Conversion Factor,Barcode Expected,Barcode Actual,
01,Unknown,,,water,,,Y:A1,2.5,1,,,
02,Unknown,,,water,,,Y:A1,2.5,1,,,
03,Unknown,,,water,,,Y:A1,2.5,1,,,
04,Unknown,,,water,,,Y:A1,2.5,1,,,
05,Unknown,,,mix.1,,,Y:A2,2.5,1,,,
06,Unknown,,,hyp.dmso.a,,,Y:A3,2.5,1,,,
07,Unknown,,,hyp.dmso.b,,,Y:A4,2.5,1,,,
08,Unknown,,,hyp.dmso.1,,,Y:A5,2.5,1,,,
09,Unknown,,,hyp.dmso.2,,,Y:A6,2.5,1,,,
10,Unknown,,,mix.2,,,Y:A7,2.5,1,,,
11,Unknown,,,hyp.dmso.3,,,Y:A8,2.5,1,,,
12,Unknown,,,hyp.dmso.4,,,Y:A9,2.5,1,,,
13,Unknown,,,hyp.dmso.5,,,Y:B1,2.5,1,,,
14,Unknown,,,hyp.bay.a,,,Y:B2,2.5,1,,,
15,Unknown,,,mix.3,,,Y:B3,2.5,1,,,
16,Unknown,,,hyp.bay.b,,,Y:B4,2.5,1,,,
17,Unknown,,,hyp.bay.1,,,Y:B5,2.5,1,,,
18,Unknown,,,hyp.bay.2,,,Y:B6,2.5,1,,,
19,Unknown,,,hyp.bay.3,,,Y:B7,2.5,1,,,
20,Unknown,,,mix.4,,,Y:B8,2.5,1,,,
21,Unknown,,,hyp.bay.4,,,Y:B9,2.5,1,,,
22,Unknown,,,hyp.bay.5,,,Y:C1,2.5,1,,,
23,Unknown,,,norm.dmso.a,,,Y:C2,2.5,1,,,
24,Unknown,,,norm.dmso.b,,,Y:C3,2.5,1,,,
25,Unknown,,,mix.5,,,Y:C4,2.5,1,,,
26,Unknown,,,norm.dmso.1,,,Y:C5,2.5,1,,,
27,Unknown,,,norm.dmso.2,,,Y:C6,2.5,1,,,
28,Unknown,,,norm.dmso.3,,,Y:C7,2.5,1,,,
29,Unknown,,,norm.dmso.4,,,Y:C8,2.5,1,,,
30,Unknown,,,mix.6,,,Y:C9,2.5,1,,,
31,Unknown,,,norm.dmso.5,,,Y:D1,2.5,1,,,
32,Unknown,,,norm.bay.a,,,Y:D2,2.5,1,,,
33,Unknown,,,norm.bay.b,,,Y:D3,2.5,1,,,
34,Unknown,,,norm.bay.1,,,Y:D4,2.5,1,,,
35,Unknown,,,mix.7,,,Y:D5,2.5,1,,,
36,Unknown,,,norm.bay.2,,,Y:D6,2.5,1,,,
37,Unknown,,,norm.bay.3,,,Y:D7,2.5,1,,,
38,Unknown,,,norm.bay.4,,,Y:D8,2.5,1,,,
39,Unknown,,,norm.bay.5,,,Y:D9,2.5,1,,,
40,Unknown,,,mix.8,,,Y:E1,2.5,1,,,

